,ds,output,0,1,2,3,4,5,6
472,2015-01-01,09 01 07 23 16 20 06,09,01,07,23,16,20,06
471,2015-01-04,15 28 25 16 32 07 05,15,28,25,16,32,07,05
470,2015-01-06,31 15 23 10 24 20 15,31,15,23,10,24,20,15
469,2015-01-08,16 15 14 02 23 24 10,16,15,14,02,23,24,10
468,2015-01-11,07 18 32 17 16 10 15,07,18,32,17,16,10,15
467,2015-01-13,33 01 10 11 29 31 13,33,01,10,11,29,31,13
466,2015-01-15,17 01 09 33 07 20 08,17,01,09,33,07,20,08
465,2015-01-18,16 22 07 10 04 20 03,16,22,07,10,04,20,03
464,2015-01-20,14 25 21 17 07 04 14,14,25,21,17,07,04,14
463,2015-01-22,02 08 03 21 01 31 09,02,08,03,21,01,31,09
462,2015-01-25,14 04 15 18 17 20 15,14,04,15,18,17,20,15
461,2015-01-27,31 23 29 05 22 03 06,31,23,29,05,22,03,06
460,2015-01-29,26 09 08 25 29 24 01,26,09,08,25,29,24,01
459,2015-02-01,19 16 30 27 02 12 11,19,16,30,27,02,12,11
458,2015-02-03,07 33 25 24 01 20 04,07,33,25,24,01,20,04
457,2015-02-05,10 06 17 15 02 31 13,10,06,17,15,02,31,13
456,2015-02-08,20 18 13 27 33 25 12,20,18,13,27,33,25,12
455,2015-02-10,12 28 09 06 14 29 09,12,28,09,06,14,29,09
454,2015-02-12,26 19 06 11 02 25 04,26,19,06,11,02,25,04
453,2015-02-15,04 07 01 23 19 22 04,04,07,01,23,19,22,04
452,2015-02-17,14 27 28 17 16 15 08,14,27,28,17,16,15,08
451,2015-02-26,10 16 07 04 23 25 10,10,16,07,04,23,25,10
450,2015-03-01,09 08 13 29 10 30 01,09,08,13,29,10,30,01
449,2015-03-03,09 23 11 24 18 16 10,09,23,11,24,18,16,10
448,2015-03-05,11 32 15 27 12 10 14,11,32,15,27,12,10,14
447,2015-03-08,33 17 13 02 22 21 13,33,17,13,02,22,21,13
446,2015-03-10,07 29 26 16 09 05 07,07,29,26,16,09,05,07
445,2015-03-12,04 28 26 27 07 10 14,04,28,26,27,07,10,14
444,2015-03-15,14 15 07 28 21 19 07,14,15,07,28,21,19,07
443,2015-03-17,08 11 14 15 26 16 07,08,11,14,15,26,16,07
442,2015-03-19,22 26 01 05 07 32 11,22,26,01,05,07,32,11
441,2015-03-22,16 29 18 14 32 11 16,16,29,18,14,32,11,16
440,2015-03-24,31 06 32 21 29 03 05,31,06,32,21,29,03,05
439,2015-03-26,27 13 18 12 20 17 13,27,13,18,12,20,17,13
438,2015-03-29,09 01 08 24 22 33 03,09,01,08,24,22,33,03
437,2015-03-31,33 04 17 06 16 26 03,33,04,17,06,16,26,03
436,2015-04-02,31 05 28 07 18 12 03,31,05,28,07,18,12,03
435,2015-04-05,33 11 05 06 12 14 14,33,11,05,06,12,14,14
434,2015-04-07,26 30 13 29 01 15 12,26,30,13,29,01,15,12
433,2015-04-09,27 30 16 18 32 13 16,27,30,16,18,32,13,16
432,2015-04-12,25 11 09 17 04 21 06,25,11,09,17,04,21,06
431,2015-04-14,23 10 21 09 19 32 08,23,10,21,09,19,32,08
430,2015-04-16,26 11 24 27 12 15 15,26,11,24,27,12,15,15
429,2015-04-19,14 04 03 16 13 02 02,14,04,03,16,13,02,02
428,2015-04-21,30 31 22 01 13 05 07,30,31,22,01,13,05,07
427,2015-04-23,31 23 05 10 14 07 01,31,23,05,10,14,07,01
426,2015-04-26,20 24 26 27 02 03 09,20,24,26,27,02,03,09
425,2015-04-28,27 22 16 13 17 25 10,27,22,16,13,17,25,10
424,2015-04-30,23 17 07 20 12 14 05,23,17,07,20,12,14,05
423,2015-05-03,17 12 16 03 09 31 04,17,12,16,03,09,31,04
422,2015-05-05,32 04 24 26 10 28 09,32,04,24,26,10,28,09
421,2015-05-07,25 04 16 26 11 02 12,25,04,16,26,11,02,12
420,2015-05-10,32 07 17 03 33 22 10,32,07,17,03,33,22,10
419,2015-05-12,22 01 10 26 07 02 07,22,01,10,26,07,02,07
418,2015-05-14,19 10 18 01 28 15 02,19,10,18,01,28,15,02
417,2015-05-17,01 08 18 20 16 07 14,01,08,18,20,16,07,14
416,2015-05-19,25 24 32 20 09 26 04,25,24,32,20,09,26,04
415,2015-05-21,10 18 02 20 09 19 15,10,18,02,20,09,19,15
414,2015-05-24,25 06 16 02 32 09 14,25,06,16,02,32,09,14
413,2015-05-26,18 01 27 31 32 03 13,18,01,27,31,32,03,13
412,2015-05-28,18 26 06 32 22 33 04,18,26,06,32,22,33,04
411,2015-05-31,18 26 14 15 09 21 16,18,26,14,15,09,21,16
410,2015-06-02,07 09 16 32 22 01 12,07,09,16,32,22,01,12
409,2015-06-04,14 27 23 12 11 17 01,14,27,23,12,11,17,01
408,2015-06-07,29 26 08 14 10 19 12,29,26,08,14,10,19,12
407,2015-06-09,17 08 11 28 05 24 16,17,08,11,28,05,24,16
406,2015-06-11,05 24 25 31 02 08 14,05,24,25,31,02,08,14
405,2015-06-14,27 15 06 21 26 18 10,27,15,06,21,26,18,10
